HeightFrom,HeightTo,YearBuildFrom,YearBuiltTo,BLDGSCHEME,BLDGCLASS,OCCSCHEME,OCCTYPE,NUMSTORIES,YEARBUILT,Combination
1,1,1,1940,RMS,1,ATC,1,1,1930,C1T01H1Y1
1,1,1941,1965,RMS,1,ATC,1,1,1960,C1T01H1Y2
1,1,1966,1976,RMS,1,ATC,1,1,1970,C1T01H1Y3
1,1,1977,1992,RMS,1,ATC,1,1,1990,C1T01H1Y4
1,1,1993,2004,RMS,1,ATC,1,1,2000,C1T01H1Y5
1,1,2005,2011,RMS,1,ATC,1,1,2009,C1T01H1Y6
1,1,2012,5000,RMS,1,ATC,1,1,2023,C1T01H1Y7
2,1000,1,1940,RMS,1,ATC,1,2,1930,C1T01H2Y1
2,1000,1941,1965,RMS,1,ATC,1,2,1960,C1T01H2Y2
2,1000,1966,1976,RMS,1,ATC,1,2,1970,C1T01H2Y3
2,1000,1977,1992,RMS,1,ATC,1,2,1990,C1T01H2Y4
2,1000,1993,2004,RMS,1,ATC,1,2,2000,C1T01H2Y5
2,1000,2005,2011,RMS,1,ATC,1,2,2009,C1T01H2Y6
2,1000,2012,5000,RMS,1,ATC,1,2,2023,C1T01H2Y7
1,1,1,1940,RMS,1,ATC,2,1,1930,C1T02H1Y1
1,1,1941,1965,RMS,1,ATC,2,1,1960,C1T02H1Y2
1,1,1966,1976,RMS,1,ATC,2,1,1970,C1T02H1Y3
1,1,1977,1992,RMS,1,ATC,2,1,1990,C1T02H1Y4
1,1,1993,2004,RMS,1,ATC,2,1,2000,C1T02H1Y5
1,1,2005,2011,RMS,1,ATC,2,1,2009,C1T02H1Y6
1,1,2012,5000,RMS,1,ATC,2,1,2023,C1T02H1Y7
2,1000,1,1940,RMS,1,ATC,2,2,1930,C1T02H2Y1
2,1000,1941,1965,RMS,1,ATC,2,2,1960,C1T02H2Y2
2,1000,1966,1976,RMS,1,ATC,2,2,1970,C1T02H2Y3
2,1000,1977,1992,RMS,1,ATC,2,2,1990,C1T02H2Y4
2,1000,1993,2004,RMS,1,ATC,2,2,2000,C1T02H2Y5
2,1000,2005,2011,RMS,1,ATC,2,2,2009,C1T02H2Y6
2,1000,2012,5000,RMS,1,ATC,2,2,2023,C1T02H2Y7
1,1,1,1940,RMS,1,ATC,37,1,1930,C1T37H1Y1
1,1,1941,1965,RMS,1,ATC,37,1,1960,C1T37H1Y2
1,1,1966,1976,RMS,1,ATC,37,1,1970,C1T37H1Y3
1,1,1977,1992,RMS,1,ATC,37,1,1990,C1T37H1Y4
1,1,1993,2004,RMS,1,ATC,37,1,2000,C1T37H1Y5
1,1,2005,2011,RMS,1,ATC,37,1,2009,C1T37H1Y6
1,1,2012,5000,RMS,1,ATC,37,1,2023,C1T37H1Y7
2,1000,1,1940,RMS,1,ATC,37,2,1930,C1T37H2Y1
2,1000,1941,1965,RMS,1,ATC,37,2,1960,C1T37H2Y2
2,1000,1966,1976,RMS,1,ATC,37,2,1970,C1T37H2Y3
2,1000,1977,1992,RMS,1,ATC,37,2,1990,C1T37H2Y4
2,1000,1993,2004,RMS,1,ATC,37,2,2000,C1T37H2Y5
2,1000,2005,2011,RMS,1,ATC,37,2,2009,C1T37H2Y6
2,1000,2012,5000,RMS,1,ATC,37,2,2023,C1T37H2Y7
1,1,1,1940,RMS,1,ATC,38,1,1930,C1T38H1Y1
1,1,1941,1965,RMS,1,ATC,38,1,1960,C1T38H1Y2
1,1,1966,1976,RMS,1,ATC,38,1,1970,C1T38H1Y3
1,1,1977,1992,RMS,1,ATC,38,1,1990,C1T38H1Y4
1,1,1993,2004,RMS,1,ATC,38,1,2000,C1T38H1Y5
1,1,2005,2011,RMS,1,ATC,38,1,2009,C1T38H1Y6
1,1,2012,5000,RMS,1,ATC,38,1,2023,C1T38H1Y7
2,1000,1,1940,RMS,1,ATC,38,2,1930,C1T38H2Y1
2,1000,1941,1965,RMS,1,ATC,38,2,1960,C1T38H2Y2
2,1000,1966,1976,RMS,1,ATC,38,2,1970,C1T38H2Y3
2,1000,1977,1992,RMS,1,ATC,38,2,1990,C1T38H2Y4
2,1000,1993,2004,RMS,1,ATC,38,2,2000,C1T38H2Y5
2,1000,2005,2011,RMS,1,ATC,38,2,2009,C1T38H2Y6
2,1000,2012,5000,RMS,1,ATC,38,2,2023,C1T38H2Y7
1,1,1,1940,RMS,1,ATC,0,1,1930,C1T00H1Y1
1,1,1941,1965,RMS,1,ATC,0,1,1960,C1T00H1Y2
1,1,1966,1976,RMS,1,ATC,0,1,1970,C1T00H1Y3
1,1,1977,1992,RMS,1,ATC,0,1,1990,C1T00H1Y4
1,1,1993,2004,RMS,1,ATC,0,1,2000,C1T00H1Y5
1,1,2005,2011,RMS,1,ATC,0,1,2009,C1T00H1Y6
1,1,2012,5000,RMS,1,ATC,0,1,2023,C1T00H1Y7
2,1000,1,1940,RMS,1,ATC,0,2,1930,C1T00H2Y1
2,1000,1941,1965,RMS,1,ATC,0,2,1960,C1T00H2Y2
2,1000,1966,1976,RMS,1,ATC,0,2,1970,C1T00H2Y3
2,1000,1977,1992,RMS,1,ATC,0,2,1990,C1T00H2Y4
2,1000,1993,2004,RMS,1,ATC,0,2,2000,C1T00H2Y5
2,1000,2005,2011,RMS,1,ATC,0,2,2009,C1T00H2Y6
2,1000,2012,5000,RMS,1,ATC,0,2,2023,C1T00H2Y7
1,1,0,0,RMS,1,ATC,37,1,9999,C1T37H1Y0
2,1000,0,0,RMS,1,ATC,37,2,9999,C1T37H2Y0
1,1,0,0,RMS,1,ATC,38,1,9999,C1T38H1Y0
2,1000,0,0,RMS,1,ATC,38,2,9999,C1T38H2Y0
1,1,0,0,RMS,1,ATC,2,1,9999,C1T02H1Y0
2,1000,0,0,RMS,1,ATC,2,2,9999,C1T02H2Y0
1,1,0,0,RMS,1,ATC,1,1,9999,C1T01H1Y0
2,1000,0,0,RMS,1,ATC,1,2,9999,C1T01H2Y0
1,1,0,0,RMS,1,ATC,0,1,9999,C1T00H1Y0
2,1000,0,0,RMS,1,ATC,0,2,9999,C1T00H2Y0
0,0,1,1940,RMS,1,ATC,1,0,1930,C1T01H0Y1
0,0,1941,1965,RMS,1,ATC,1,0,1960,C1T01H0Y2
0,0,1966,1976,RMS,1,ATC,1,0,1970,C1T01H0Y3
0,0,1977,1992,RMS,1,ATC,1,0,1990,C1T01H0Y4
0,0,1993,2004,RMS,1,ATC,1,0,2000,C1T01H0Y5
0,0,2005,2011,RMS,1,ATC,1,0,2009,C1T01H0Y6
0,0,2012,5000,RMS,1,ATC,1,0,2023,C1T01H0Y7
0,0,0,0,RMS,1,ATC,1,0,9999,C1T01H0Y0
0,0,1,1940,RMS,1,ATC,2,0,1930,C1T02H0Y1
